,Unnamed: 0,Unnamed: 0.1,ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty,age_group
0,0,0,1,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,0.8,5,4,4,1.0,4,0.8,4,2,1,1,1,0,1,1,0,23,5,4,1,1,1,10,1.0,1,0.89999998,0.89999998,0.5625,0.75,1,0,0,0,young
1,1,1,2,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2, 3, 4",4,1.0,5,4,4,0.8,4,0.6,4,1,1,1,0,0,0,1,0,30,10,4,4,3,3,10,1.0,4,0.89999998,0.89999998,0.51249999,0.25,0,0,0,1,young
2,2,2,3,More than 3 Hours,"1, 4, 6",1,0,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,0.6,2,3,2,1.0,4,0.6,2,4,1,1,1,1,1,0,1,22,14,4,1,1,4,14,3.0,4,0.60000002,0.73333335,0.5625,0.75,0,0,0,1,young
3,3,3,4,More than 3 Hours,6,0,0,0,0,0,1,between 3000-5000 friends,"2, 3, 4",3,0.8,4,4,4,1.0,4,0.6,2,2,1,1,0,0,1,1,0,23,8,5,1,2,1,10,3.0,1,0.78750002,0.86250001,0.46250001,0.5,1,0,0,0,young
4,4,4,5,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,under 300 friends,"2, 3, 4",3,1.0,5,5,5,0.8,4,0.6,4,3,1,1,0,0,0,1,0,29,8,5,5,2,3,8,1.0,1,0.9375,0.91250002,0.61250001,0.25,1,0,0,0,young
5,5,5,6,More than 3 Hours,"2, 6",0,1,0,0,0,1,between 1000-3000 friends,"2, 3",2,0.2,5,1,1,1.0,4,0.4,1,1,1,1,0,0,0,0,0,24,13,5,1,2,1,13,1.0,4,0.47499999,0.55833334,0.36250001,0.0,0,0,0,1,young
6,6,6,7,More than 3 Hours,6,0,0,0,0,0,1,between 3000-5000 friends,"1, 2, 3, 4",4,0.6,5,2,4,0.8,4,0.4,4,2,1,1,0,0,0,1,1,23,10,4,7,5,3,10,1.0,1,0.80000001,0.73333335,0.5625,0.25,1,0,0,0,young
7,7,7,8,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,1.0,5,3,5,0.6,3,0.6,4,4,"3, 4",2,0,0,0,0,1,40,13,4,4,4,1,13,1.0,1,0.89999998,0.83333331,0.67500001,0.0,1,0,0,0,medum
8,8,8,9,More than 3 Hours,"1, 5",1,0,0,0,1,0,under 300 friends,"1, 2, 3, 4",4,1.0,4,1,5,0.8,4,1.0,4,4,1,1,1,0,0,0,1,29,10,4,4,2,1,10,3.0,1,0.75,0.85000002,0.66250002,0.25,1,0,0,0,young
9,9,9,10,More than 3 Hours,"1, 3, 4",1,0,1,1,0,0,between 3000-5000 friends,"1, 2, 3, 4",4,0.8,5,4,5,1.0,4,0.8,5,4,1,1,1,0,0,0,0,24,8,4,1,1,1,9,1.0,1,0.94999999,0.91666669,0.71249998,0.25,1,0,0,0,young
10,10,10,11,Less than 1 Hour,"1, 5, 6",1,0,0,0,1,1,between 300-1000 friends,"1, 2, 3, 4",4,0.8,4,3,5,0.8,4,0.8,4,5,1,1,1,0,0,0,0,23,13,5,1,1,1,13,1.0,1,0.85000002,0.81666666,0.71249998,0.25,1,0,0,0,young
11,11,11,12,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,between 1000-3000 friends,"2, 3",2,0.8,4,1,5,0.2,3,0.2,4,4,2,1,1,0,0,0,0,30,9,4,4,3,1,13,1.0,1,0.625,0.54166669,0.61250001,0.25,1,0,0,0,young
12,12,12,13,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,0.8,5,4,4,1.0,4,0.6,4,5,3,1,1,0,0,1,1,28,13,4,4,4,1,13,1.0,1,0.89999998,0.89999998,0.71249998,0.5,1,0,0,0,young
13,13,13,14,Between 1 Hour and 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,0.8,5,4,5,0.6,3,0.4,4,3,1,1,1,0,1,0,0,24,10,4,1,1,1,10,1.0,1,0.94999999,0.7833333,0.5625,0.5,1,0,0,0,young
