id,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,SIU_INGroup,informational_use,SIU_1,SIU_2,SIU_3,entertainment_use,OEP_1,political_efficacy,OEP_2,OEP_3,OEP_4_Data,OEP_4,OFEP_1,OFEP_2,OFEP_3,OFEP_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party
1,3,"1, 2, 5",1,1,0,0,1,0,4,"1, 2, 3, 4",4,4,5,4,4,5,4,4,4,2,1,1,1,0,1,1,0,23,5,4,1,1,1,10,1,1
2,2,"1, 2, 4, 5",1,1,0,1,1,0,2,"1, 2, 3, 4",4,5,5,4,4,4,4,3,4,1,1,1,0,0,0,1,0,30,10,4,4,3,3,10,1,4
3,3,"1, 4, 6",1,0,0,1,0,1,3,"1, 2, 3, 4",4,3,2,3,2,5,4,3,2,4,1,1,1,1,1,0,1,22,14,4,1,1,4,14,3,4
4,3,6,0,0,0,0,0,1,4,"2, 3, 4",3,4,4,4,4,5,4,3,2,2,1,1,0,0,1,1,0,23,8,5,1,2,1,10,3,1
5,2,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,1,"2, 3, 4",3,5,5,5,5,4,4,3,4,3,1,1,0,0,0,1,0,29,8,5,5,2,3,8,1,1
6,3,"2, 6",0,1,0,0,0,1,3,"2, 3",2,1,5,1,1,5,4,2,1,1,1,1,0,0,0,,0,24,13,5,1,2,1,13,1,4
7,3,6,0,0,0,0,0,1,4,"1, 2, 3, 4",4,3,5,2,4,4,4,2,4,2,1,1,0,0,0,1,1,23,10,4,7,5,3,10,1,1
8,2,"1, 2, 5",1,1,0,0,1,0,2,"1, 2, 3, 4",4,5,5,3,5,3,3,3,4,4,"3, 4",2,0,0,0,0,1,40,13,4,4,4,1,13,1,1
9,3,"1, 5",1,0,0,0,1,0,1,"1, 2, 3, 4",4,5,4,1,5,4,4,5,4,4,1,1,1,0,0,0,1,29,10,4,4,2,1,10,3,1
10,3,"1, 3, 4",1,0,1,1,0,0,4,"1, 2, 3, 4",4,4,5,4,5,5,4,4,5,4,1,1,1,0,0,,0,24,8,4,1,1,1,9,1,1
11,1,"1, 5, 6",1,0,0,0,1,1,2,"1, 2, 3, 4",4,4,4,3,5,4,4,4,4,5,1,1,1,0,0,0,0,23,13,5,1,1,1,13,1,1
12,2,"1, 5",1,0,0,0,1,0,3,"2, 3",2,4,4,1,5,1,3,1,4,4,2,1,1,0,0,,0,30,9,4,4,3,1,13,1,1
13,3,"1, 2, 5",1,1,0,0,1,0,2,"1, 2, 3, 4",4,4,5,4,4,5,4,3,4,5,3,1,1,0,0,1,1,28,13,4,4,4,1,13,1,1
14,2,"1, 2, 4, 6",1,1,0,1,0,1,3,"1, 2, 3, 4",4,4,5,4,5,3,3,2,4,3,1,1,1,0,1,0,0,24,10,4,1,1,1,10,1,1
15,3,"1, 2, 4, 5",1,1,0,1,1,0,2,"1, 2",2,4,4,4,4,4,5,2,4,4,1,1,1,0,0,,0,37,9,5,5,2,3,10,1,1
16,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,3,"1, 2, 3, 4",4,4,5,2,5,5,4,1,4,1,1,1,1,0,0,0,0,24,9,4,1,2,2,10,1,1
17,2,"1, 2, 4, 5",1,1,0,1,1,0,3,"2, 3, 4",3,5,5,4,4,4,5,3,3,3,1,1,0,0,0,0,0,29,10,5,5,2,1,10,1,1
18,2,"2, 4, 5, 6",0,1,0,1,1,1,1,"1, 2, 3, 4",4,4,4,4,4,4,4,1,4,1,1,1,1,0,0,1,0,22,10,0,1,2,3,10,1,1
19,2,5,0,0,0,0,1,0,2,2,1,5,5,5,4,4,4,5,4,5,"3, 4",2,1,0,1,1,0,32,7,4,7,2,1,7,2,3
20,3,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,4,"1, 2, 3, 4",4,4,4,1,4,5,3,1,1,3,2,1,0,0,0,1,1,27,10,6,6,2,2,10,1,1
21,2,"1, 2, 6",1,1,0,0,0,1,2,"1, 2, 4",3,4,5,4,4,4,4,4,4,4,2,1,1,0,0,1,0,29,10,4,7,3,3,10,1,1
22,3,"1, 2, 5",1,1,0,0,1,0,2,"1, 2, 3, 4",4,4,3,2,3,3,3,2,2,3,2,1,1,0,0,0,0,29,10,4,7,3,1,10,1,4
23,3,"1, 2, 3, 5",1,1,1,0,1,0,2,"1, 2, 3, 4",4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,32,13,5,5,2,1,13,1,1
24,2,"1, 2, 4, 5, 6",1,1,0,1,1,1,3,2,1,2,2,1,4,2,2,2,3,1,2,1,0,0,0,,0,32,9,5,5,2,4,9,3,1
25,2,"2, 4, 5",0,1,0,1,1,0,3,"2, 3, 4",3,3,4,3,3,3,3,3,3,3,1,1,0,0,0,0,0,28,10,5,1,2,5,10,1,4
26,3,"2, 5",0,1,0,0,1,0,4,"1, 2, 3, 4",4,4,4,2,3,3,2,3,3,3,1,1,1,1,1,1,0,21,10,0,1,1,3,10,3,1
27,3,"1, 2, 5, 6",1,1,0,0,1,1,2,"1, 2, 3, 4",4,5,4,4,5,4,3,4,5,3,"1, 3",2,1,0,0,1,0,17,11,0,1,1,3,11,1,1
28,2,"2, 5, 6",0,1,0,0,1,1,2,"1, 2, 4",3,4,5,2,4,5,3,2,3,3,1,1,0,0,0,1,0,29,10,5,4,5,5,10,1,1
29,3,"1, 2",1,1,0,0,0,0,3,"2, 3, 4",3,4,5,3,4,4,4,3,4,5,1,1,1,0,1,1,0,23,8,4,1,1,3,8,1,1
30,2,"1, 6",1,0,0,0,0,1,3,"1, 2, 3, 4",4,5,4,3,4,4,3,5,5,4,1,1,1,1,0,1,0,23,10,4,1,3,1,13,2,1
